timestamp,open,high,low,close,volume
1731679200000,155.325,155.779,155.119,155.546,54312.4805
1731682800000,155.549,155.598,154.84,154.947,59526.2109
1731686400000,154.948,155.014,154.529,154.597,53574.3984
1731690000000,154.596,154.607,154.186,154.28,37651.1719
1731693600000,154.281,154.304,153.858,153.925,35748.0313
1731697200000,153.921,154.341,153.913,154.213,31922.6699
1731700800000,154.217,154.418,154.173,154.289,28756.1992
1731704400000,154.29,154.476,154.248,154.248,7343.04
1731880800000,154.349,154.55,154.222,154.531,2954.9399
1731884400000,154.531,154.746,154.391,154.64,13082.0098
1731888000000,154.639,154.659,153.838,154.269,39674.4609
1731891600000,154.269,155.138,154.097,154.595,47144.4688
1731895200000,154.595,154.922,154.584,154.734,34162.9102
1731898800000,154.734,154.89,154.62,154.651,21328.5
1731902400000,154.652,154.692,154.413,154.645,23210.3496
1731906000000,154.646,154.758,154.413,154.591,27110.0098
1731909600000,154.593,154.627,154.296,154.582,34303.1914
1731913200000,154.582,154.764,154.474,154.566,43073.0781
1731916800000,154.567,154.953,154.501,154.95,45646.5117
1731920400000,154.951,154.97,154.555,154.776,42139.0508
1731924000000,154.775,155.05,154.774,154.999,34278.9102
1731927600000,154.999,155.123,154.951,155.056,27981.1797
1731931200000,155.057,155.279,155.029,155.266,29547.6797
1731934800000,155.268,155.356,154.865,154.904,38515.0391
1731938400000,154.904,154.983,154.583,154.798,39643.5508
1731942000000,154.8,155.051,154.75,154.992,39293.9688
1731945600000,154.992,155.068,154.789,154.797,37097.25
1731949200000,154.796,154.848,154.64,154.698,23357.6094
1731952800000,154.698,154.786,154.591,154.628,21386.0098
1731956400000,154.627,154.753,154.571,154.737,26785.8008
1731960000000,154.736,154.739,154.589,154.59,20715.9902
1731963600000,154.59,154.69,154.567,154.649,8877.9697
1731967200000,154.645,154.645,154.588,154.628,891.09
1731970800000,154.645,154.649,154.432,154.613,4689.0498
1731974400000,154.614,154.614,154.297,154.376,28064.7207
1731978000000,154.377,154.4,154.039,154.114,22061.5391
1731981600000,154.114,154.247,153.971,154.155,19462.3105
1731985200000,154.153,154.211,153.948,154.175,19540.7109
1731988800000,154.17,154.469,154.112,154.419,17906.5195
1731992400000,154.425,154.518,154.298,154.42,20102.9297
1731996000000,154.42,154.58,154.343,154.508,20333.9707
1731999600000,154.511,154.653,154.442,154.526,33172.0508
1732003200000,154.527,154.573,153.279,153.745,61110.6211
1732006800000,153.747,154.071,153.347,153.763,73796.8906
1732010400000,153.76,153.824,153.438,153.774,57011.3203
1732014000000,153.774,154.176,153.722,154.084,41232.0898
1732017600000,154.083,154.206,153.966,153.976,40056.9102
1732021200000,153.973,154.009,153.408,153.471,54156.7891
1732024800000,153.472,154.133,153.442,154.051,69632.9531
1732028400000,154.051,154.231,153.848,153.956,58953.9219
1732032000000,153.957,154.493,153.915,154.346,33305.7305
1732035600000,154.347,154.754,154.26,154.721,27491.3398
1732039200000,154.722,154.797,154.578,154.587,15590.5996
1732042800000,154.586,154.705,154.562,154.694,17147.7305
1732046400000,154.693,154.731,154.633,154.683,15684.1797
1732050000000,154.684,154.727,154.613,154.647,4317.73
1732053600000,154.647,154.651,154.527,154.571,1252.98
1732057200000,154.569,154.755,154.525,154.718,7919.6099
1732060800000,154.72,154.937,154.584,154.919,28418.8809
1732064400000,154.918,154.986,154.694,154.771,23106.5703
1732068000000,154.77,154.906,154.723,154.867,24297.3203
1732071600000,154.867,154.985,154.822,154.954,19854.0801
1732075200000,154.953,155.137,154.942,155.051,17903.8105
1732078800000,155.051,155.186,154.99,155.186,20686.5801
1732082400000,155.187,155.459,155.157,155.357,28770.6797
1732086000000,155.356,155.681,155.322,155.657,35601.6797
1732089600000,155.658,155.747,155.58,155.631,30392.5508
1732093200000,155.632,155.849,155.599,155.755,31539.7305
1732096800000,155.757,155.847,155.667,155.75,26719.6895
1732100400000,155.749,155.861,155.714,155.832,23707.6992
1732104000000,155.834,155.886,155.685,155.688,25420.5508
1732107600000,155.691,155.79,155.629,155.73,30149.2891
1732111200000,155.73,155.838,155.383,155.6,32801.0508
1732114800000,155.6,155.608,155.054,155.529,40171.8984
1732118400000,155.528,155.61,155.233,155.38,29674.8398
1732122000000,155.38,155.44,155.182,155.218,23153.6191
1732125600000,155.218,155.422,155.198,155.339,25171.1309
1732129200000,155.341,155.374,155.24,155.365,18724.8301
1732132800000,155.368,155.518,155.365,155.475,16832.3203
1732136400000,155.476,155.538,155.35,155.398,12572.2305
1732140000000,155.288,155.395,155.288,155.32,1929.0601
1732143600000,155.34,155.37,155.233,155.272,6495.2998
1732147200000,155.271,155.299,154.921,155.076,33033.5391
1732150800000,155.075,155.088,154.878,155.04,29853.5703
1732154400000,155.039,155.083,154.874,154.961,24580.5098
1732158000000,154.957,155.032,154.889,154.925,23612.2891
1732161600000,154.925,155.108,154.86,155.055,17319
1732165200000,155.053,155.261,155.027,155.185,16289.0303
1732168800000,155.18,155.18,154.554,154.76,27551
1732172400000,154.76,155.042,154.606,154.904,52221.0508
1732176000000,154.903,155.034,154.404,154.438,62630.6211
1732179600000,154.437,154.446,154.081,154.397,53661.7305
1732183200000,154.396,154.433,154.2,154.398,35668.4492
1732186800000,154.398,154.582,154.304,154.532,35077.1719
1732190400000,154.532,154.714,154.299,154.439,35276.7891
1732194000000,154.44,154.691,154.101,154.249,43886.8594
1732197600000,154.249,154.541,153.962,154.096,53986.9609
1732201200000,154.096,154.351,153.905,154.319,50371.8711
1732204800000,154.32,154.665,154.307,154.654,48014.3086
1732208400000,154.652,154.691,154.404,154.438,39706.5508
1732212000000,154.439,154.697,154.432,154.547,29834.6191
1732215600000,154.547,154.637,154.479,154.504,26702.9902
1732219200000,154.504,154.59,154.452,154.502,27391.0898
1732222800000,154.502,154.568,154.449,154.522,8634.54
1732226400000,154.52,154.525,154.378,154.464,1338.45
